plant_id,plant_installation_date,plant_name,sector,state,city,area,user_id,user_name,user_mobile,user_email,wind_speed,wind_direction,wind_speed_category,wind_direction_category,generator_speed,installation_year,theoretical_power,power_output,product_type1_wind_turbine,product_type2_tower_structure,product_type3_power_inverter,product_type4_controller_unit,total_num_of_products,installation_type,installation_cost,total_cost,User_Advantage
P_000020,2022-12-13,Kali Baran Nimbus Division,Industrial,Rajasthan,Baran,Semi-Urban,U_001049,Farhan Singh,9546377767,farhan_singh@hotmail.com,0.0,0,NA,NA,0.0,2022,0.0,0.0,0,14,17,17,48,Professional,75000,6250000,no_change
P_000021,2024-05-03,Maharashtra Tejas Hub,Government (MNRE),Maharashtra,Amravati,Semi-Urban,U_001050,Jack Desai,9285569562,jack7308@gmail.com,9.51,232,Moderate,West,13.71,2024,13.91,15.46,15,15,16,18,64,Self,0,4950000,profit
P_000022,2022-08-02,Datta Ludhiana Climate Works,Industrial,Punjab,Ludhiana,Rural,U_000333,Theodore Sutar,7610451915,tsutar85@yahoo.com,0.0,0,NA,NA,0.0,2022,0.0,0.0,0,26,30,28,84,Professional,75000,11020000,no_change
P_000023,2023-12-20,Shri Parbhani Cyclone Urja,Commercial,Maharashtra,Parbhani,Rural,U_001240,Vaishnavi Birla,8912017132,vaishnavi_birla@outlook.com,6.84,307,Light Breeze,West,12.85,2023,10.94,12.15,20,20,0,21,61,Professional,75000,9805000,profit
P_000024,2023-04-16,Nashik Wind Farm IV,Commercial,Maharashtra,Nashik,Semi-Urban,U_000361,Logan Deshpande,7218494902,logan.deshpande69@gmail.com,12.17,2,Moderate,North,14.86,2023,34.34,38.15,29,0,29,30,88,Professional,75000,13590000,profit
P_000025,2022-04-21,Shri Indore Current Grid,Government (MNRE),Madhya Pradesh,Indore,Semi-Urban,U_001199,Jason Aggarwal,7261968168,j.aggarwal1974@hotmail.com,2.0,124,Calm,East,14.81,2022,0.89,0.99,24,24,27,0,75,Professional,75000,12765000,profit
P_000026,2024-02-17,Ram Abohar Sameer Zone,Industrial,Punjab,Abohar,Semi-Urban,U_000772,Ethan Nigam,7270222598,nigam.ethan187@hotmail.com,5.84,188,Light Breeze,South,12.31,2024,5.9,6.55,23,23,27,24,97,Professional,75000,14905000,profit
P_000027,2024-05-11,Maharashtra Velocity Division,Co-operative,Maharashtra,Amravati,Rural,U_000954,Upkaar Garg,9044035380,u.garg1985@yahoo.com,10.84,192,Moderate,South,16.58,2024,22.25,24.72,19,19,19,24,81,Professional,75000,12305000,profit
P_000028,2024-06-02,Patiala Wind Farm VIII,Commercial,Punjab,Patiala,Semi-Urban,U_000877,Ekavir Syed,9439424570,ekavirs1997@gmail.com,9.79,224,Moderate,South,11.9,2024,6.11,6.79,9,9,9,13,40,Professional,75000,6000000,profit
P_000029,2023-09-22,Om Guntur Zephyr Farm,Commercial,Andhra Pradesh,Guntur,Semi-Urban,U_000234,Yashvi Kumar,9415714187,kumar.yashvi140@outlook.com,9.07,236,Moderate,West,14.83,2023,8.73,9.7,11,11,13,12,47,Self,0,3670000,profit
P_000030,2023-04-16,Bhavnagar Wind Farm IX,Co-operative,Gujarat,Bhavnagar,Urban,U_000583,Amara Gowda,9067736744,agowda48@gmail.com,11.93,42,Moderate,North,12.8,2023,12.7,14.11,11,11,11,11,44,Professional,75000,6820000,profit
P_000031,2023-10-22,Tridev Udupi Stream Farm,Industrial,Karnataka,Udupi,Semi-Urban,U_000294,Aarav Saini,8335529335,aarav4933@hotmail.com,9.44,320,Moderate,North,11.23,2023,13.05,14.5,20,0,24,25,69,Professional,75000,10365000,profit
P_000032,2021-05-22,Madhya Sky Depot,Government (MNRE),Madhya Pradesh,Shivpuri,Rural,U_000085,Megha More,8001095566,megha_more@hotmail.com,3.41,15,Light Breeze,North,16.03,2021,2.43,2.7,17,17,19,18,71,Self,0,5590000,profit
P_000033,2025-04-16,Madhya Tejas Plains,Private,Madhya Pradesh,Jabalpur,Semi-Urban,U_000708,Ria Hussain,7472546313,hussain.ria576@gmail.com,11.07,187,Moderate,South,13.82,2025,20.48,22.76,18,18,20,22,78,Self,0,6000000,profit
P_000034,2021-07-19,Shree Moga TradeWind Infrastructure,Industrial,Punjab,Moga,Urban,U_000283,Rachita Pathan,7275684754,pathan.rachita923@outlook.com,10.01,196,Moderate,South,14.9,2021,7.84,8.71,8,8,9,13,38,Professional,75000,5620000,profit
P_000035,2023-04-09,Ramagundam Wind Farm VI,Co-operative,Telangana,Ramagundam,Rural,U_000045,Lajita Mirza,8115087116,lajita_mirza@hotmail.com,8.06,350,Moderate,North,14.9,2023,17.5,19.44,23,23,23,25,94,Self,0,7420000,profit
P_000036,2023-06-16,Maharashtra Tornado Reserve,Government (MNRE),Maharashtra,Kolhapur,Rural,U_001433,Ekiya Gowda,8800860296,ekiyag1995@yahoo.com,13.61,252,Moderate,West,13.91,2023,48.03,53.37,21,21,0,26,68,Professional,75000,10710000,profit
P_000037,2022-11-24,Kerala Drift Reserve,Private,Kerala,Malappuram,Rural,U_000295,Mekhala Chatterjee,9156188746,chatterjee.mekhala799@outlook.com,14.69,79,Strong,East,7.45,2022,35.84,39.82,27,27,30,30,114,Professional,75000,17460000,profit
P_000038,2025-01-24,Sri Parbhani Marut Farm,Government (MNRE),Maharashtra,Parbhani,Rural,U_000311,Oeshi Nikam,9766468547,oeshin1983@yahoo.com,11.47,346,Moderate,North,14.22,2025,16.78,18.65,13,0,17,14,44,Self,0,3390000,profit
P_000039,2023-12-24,Phagwara Wind Farm III,Co-operative,Punjab,Phagwara,Urban,U_001107,Anirudh Chauhan,8955112433,chauhan.anirudh192@yahoo.com,6.1,326,Light Breeze,North,14.23,2023,5.76,6.4,15,15,20,20,70,Professional,75000,10500000,profit
P_000040,2024-01-04,Bathinda Wind Farm VI,Co-operative,Punjab,Bathinda,Urban,U_000574,Urvashi Hegde,8139164525,u.hegde1985@gmail.com,2.0,96,Calm,East,13.45,2024,0.81,0.9,23,23,24,25,95,Professional,75000,14605000,profit
P_000041,2024-01-07,Gujarat Marut Base,Government (MNRE),Gujarat,Navsari,Urban,U_001087,Vanya Rao,8243995261,v.rao1986@yahoo.com,10.07,268,Moderate,West,17.69,2024,6.24,6.93,6,6,8,6,26,Professional,75000,3990000,profit
P_000042,2023-11-07,Madhya Aero Depot,Government (MNRE),Madhya Pradesh,Jabalpur,Rural,U_001341,Urishilla Shetty,9150550470,urishilla.shetty66@outlook.com,0.0,0,NA,NA,0.0,2023,0.0,0.0,0,21,21,22,64,Self,0,3600000,no_change
P_000043,2021-10-02,Madhya Marut Point,Industrial,Madhya Pradesh,Burhanpur,Rural,U_001125,Thomas Shenoy,8911763501,thomass1986@hotmail.com,5.49,79,Light Breeze,East,16.29,2021,6.05,6.72,20,20,25,20,85,Professional,75000,13075000,profit
P_000044,2024-12-17,Murugan Vatakara Climate Base,Industrial,Kerala,Vatakara,Rural,U_000899,Pahal Mukhopadhyay,9739072283,mukhopadhyay.pahal153@outlook.com,10.99,103,Moderate,East,12.68,2024,18.16,20.18,20,20,20,25,85,Professional,75000,12925000,profit
P_000045,2024-09-12,Sri Ganganagar Wind Farm VI,Commercial,Rajasthan,Sri Ganganagar,Urban,U_000671,William Tiwari,8136125163,william.tiwari49@hotmail.com,10.54,211,Moderate,South,14.24,2024,15.48,17.2,14,14,15,0,43,Professional,75000,7345000,profit
P_000046,2023-08-20,Kochi Wind Farm VI,Commercial,Kerala,Kochi,Urban,U_000549,Azad Sethi,9406598546,azad.sethi92@yahoo.com,12.91,206,Moderate,South,12.24,2023,54.24,60.27,30,30,0,32,92,Professional,75000,14760000,profit
P_000047,2022-03-28,Punjab Jetstream Farm,Government (MNRE),Punjab,Barnala,Urban,U_000760,Chasmum Joshi,9599448232,chasmum7607@outlook.com,6.02,265,Light Breeze,West,13.02,2022,3.67,4.08,12,12,12,16,52,Professional,75000,7860000,profit
P_000048,2024-12-28,Firozpur Wind Farm I,Private,Punjab,Firozpur,Semi-Urban,U_000936,Lohit Upadhyay,7728155621,lohit1782@hotmail.com,2.61,85,Calm,East,14.74,2024,2.43,2.7,28,28,28,28,112,Professional,75000,17360000,profit
P_000049,2022-01-27,Amba Ponnani Spiral Power,Government (MNRE),Kerala,Ponnani,Semi-Urban,U_000907,Yutika Agarwal,7189372087,agarwal.yutika709@outlook.com,10.78,72,Moderate,East,14.01,2022,31.66,35.18,26,26,28,29,109,Professional,75000,16705000,profit
P_000050,2024-10-21,Janani Kothagudem Lift Harvest,Government (MNRE),Telangana,Kothagudem,Urban,U_000875,Vidhi Jadeja,7850530377,vjadeja65@outlook.com,9.3,243,Moderate,West,10.46,2024,12.16,13.51,16,0,19,19,54,Self,0,4110000,profit
P_000051,2024-03-06,Lakshmi Proddatur Airflow Plains,Co-operative,Andhra Pradesh,Proddatur,Rural,U_000036,Udant Sanyal,9937818563,u.sanyal2003@yahoo.com,8.74,144,Moderate,South,13.14,2024,21.74,24.16,29,29,32,33,123,Professional,75000,18805000,profit
P_000052,2024-08-22,Anand Wind Farm I,Industrial,Gujarat,Anand,Rural,U_000044,Sathvik Mukhopadhyay,8248984346,sathvik_mukhopadhyay@gmail.com,6.59,211,Light Breeze,South,13.6,2024,9.87,10.97,20,20,25,24,89,Professional,75000,13495000,profit
P_000053,2023-09-19,Gujarat Pavan Urja,Private,Gujarat,Bhuj,Semi-Urban,U_000067,Victor Menon,7030098508,vmenon21@yahoo.com,10.21,206,Moderate,South,18.72,2023,32.63,36.26,22,22,23,23,90,Professional,75000,13880000,profit
P_000054,2025-07-08,Punjab Climate Systems,Government (MNRE),Punjab,Hoshiarpur,Urban,U_001168,Faraj Bose,7878156094,fbose25@hotmail.com,0.0,0,NA,NA,0.0,2025,0.0,0.0,0,30,31,30,91,Professional,75000,11985000,no_change
P_000055,2023-06-09,Maharashtra Sameer Generation,Industrial,Maharashtra,Dhule,Semi-Urban,U_000291,Jacob Rathore,9180528015,j.rathore1991@hotmail.com,8.78,255,Moderate,West,9.2,2023,3.55,3.94,5,5,5,5,20,Professional,75000,3100000,profit
P_000056,2024-09-25,Madurai Wind Farm VII,Government (MNRE),Tamil Nadu,Madurai,Urban,U_000655,Aradhana Ansari,9206361716,aradhana.ansari96@gmail.com,9.92,223,Moderate,South,14.15,2024,13.87,7.77,8,8,11,13,40,Professional,75000,5890000,loss
P_000057,2025-02-02,Tumkur Wind Farm IV,Private,Karnataka,Tumkur,Urban,U_001226,Falan Ahmed,7404174660,ahmed.falan606@gmail.com,17.39,29,Strong,North,13.52,2025,44.16,49.07,22,22,25,26,95,Professional,75000,14465000,profit
P_000058,2025-10-25,Tamil Stream Plains,Co-operative,Tamil Nadu,Salem,Urban,U_000687,Bachittar Pawar,9277996412,b.pawar2008@gmail.com,10.9,92,Moderate,East,13.91,2025,33.31,37.01,27,27,28,32,114,Professional,75000,17400000,profit
P_000059,2024-06-28,Jalna Wind Farm II,Commercial,Maharashtra,Jalna,Urban,U_000281,Radhika Pandey,8329983030,radhika_pandey@outlook.com,5.49,253,Light Breeze,West,16.86,2024,2.3,2.55,5,0,7,10,22,Professional,75000,3120000,profit
P_000060,2024-05-05,Jagannath Kollam Flow Point,Commercial,Kerala,Kollam,Urban,U_001239,Aayush Shinde,9398357889,aayushs1983@hotmail.com,12.26,48,Moderate,East,15.98,2024,59.54,66.15,24,24,25,27,100,Professional,75000,15330000,profit
P_000061,2023-03-22,Andhra Stream Grid,Commercial,Andhra Pradesh,Tenali,Semi-Urban,U_001015,Suhani Gowda,7673635982,s.gowda1996@gmail.com,0.0,0,NA,NA,0.0,2023,0.0,0.0,0,22,26,27,75,Self,0,4130000,no_change
P_000062,2023-12-17,Subramani Ahmednagar Prana Zone,Commercial,Maharashtra,Ahmednagar,Semi-Urban,U_000886,Balhaar Biswas,8519926056,balhaar_biswas@outlook.com,4.79,5,Light Breeze,North,15.47,2023,4.38,4.87,17,17,19,18,71,Professional,75000,10915000,profit
P_000063,2024-03-11,Punjab Vortex Block,Co-operative,Punjab,Ludhiana,Urban,U_000652,Indrajit Kulkarni,7680638968,i.kulkarni1993@gmail.com,13.57,174,Moderate,South,11.52,2024,30.93,34.37,18,18,20,0,56,Professional,75000,9540000,profit
P_000064,2024-02-25,Kerala Vayu Farm,Government (MNRE),Kerala,Thalassery,Rural,U_000596,Oviya Arora,7315840377,arora.oviya330@hotmail.com,8.3,198,Moderate,South,14.25,2024,7.51,8.34,9,9,13,11,42,Self,0,3180000,profit
P_000065,2024-01-23,Rajkot Wind Farm VII,Industrial,Gujarat,Rajkot,Semi-Urban,U_000115,Advay Jain,8284130593,jain.advay315@yahoo.com,7.49,308,Light Breeze,West,10.12,2024,26.72,11.56,21,21,24,0,66,Professional,75000,11220000,loss
P_000066,2021-09-13,Urja Tiruchirappalli Anila Array,Government (MNRE),Tamil Nadu,Tiruchirappalli,Urban,U_000697,Chaitaly Parmar,7930472245,cparmar2@hotmail.com,10.21,260,Moderate,West,11.34,2021,26.08,28.98,23,23,23,26,95,Self,0,7450000,profit
P_000067,2021-03-02,Davanagere Wind Farm IV,Co-operative,Karnataka,Davanagere,Rural,U_001299,Faraj Goel,9286943478,goel.faraj757@hotmail.com,11.42,6,Moderate,North,11.7,2021,40.87,45.41,30,30,32,31,123,Professional,75000,18975000,profit
P_000068,2023-12-03,Bhairav Rajpura Surge Division,Industrial,Punjab,Rajpura,Rural,U_000051,Dalbir Garg,8380351207,dalbirg1993@yahoo.com,11.65,328,Moderate,North,12.04,2023,19.93,22.14,18,18,23,21,80,Self,0,6150000,profit
P_000069,2024-09-18,Ganesh Bharatpur Updraft Array,Commercial,Rajasthan,Bharatpur,Semi-Urban,U_000575,Yamini Ahmed,8464958569,yamini.ahmed7@gmail.com,8.03,264,Moderate,West,16.03,2024,21.59,23.99,21,21,22,23,87,Professional,75000,13365000,profit
P_000070,2023-03-01,Andhra Sky Utility,Co-operative,Andhra Pradesh,Rajahmundry,Rural,U_000614,Divya Pawar,7948289040,divyap1981@hotmail.com,6.31,339,Light Breeze,North,14.57,2023,1.66,1.85,5,5,9,9,28,Professional,75000,4060000,profit
P_000071,2025-12-11,Barnala Wind Farm V,Commercial,Punjab,Barnala,Urban,U_000500,Lucky Pathan,9116063556,luckyp1999@hotmail.com,10.92,274,Moderate,West,9.98,2025,13.03,14.48,15,15,15,17,62,Professional,75000,9510000,profit
P_000072,2021-08-15,Gauri Coimbatore Tejas Operations,Co-operative,Tamil Nadu,Coimbatore,Semi-Urban,U_000402,Aarini Bose,7360193229,bose.aarini765@hotmail.com,10.55,209,Moderate,South,14.65,2021,39.89,44.32,25,25,27,30,107,Professional,75000,16295000,profit
P_000073,2024-12-23,Gujarat Atmos Site,Government (MNRE),Gujarat,Morbi,Rural,U_000726,Mitesh Mishra,9146561098,mmishra19@yahoo.com,11.35,325,Moderate,North,10.91,2024,19.22,21.36,26,26,27,30,109,Professional,75000,16675000,profit
P_000074,2025-06-07,Mancherial Wind Farm IV,Co-operative,Telangana,Mancherial,Urban,U_001007,Harshil Lodha,7306821382,lodha.harshil327@outlook.com,6.04,190,Light Breeze,South,15.3,2025,12.22,13.58,26,26,0,30,82,Professional,75000,13030000,profit
P_000075,2025-06-04,Adilabad Wind Farm VII,Private,Telangana,Adilabad,Rural,U_000779,Upma Nayak,9918245826,u.nayak1995@outlook.com,10.89,268,Moderate,West,14.63,2025,32.22,35.8,21,21,22,25,89,Self,0,6900000,profit
P_000076,2023-05-12,Vijayawada Wind Farm IV,Government (MNRE),Andhra Pradesh,Vijayawada,Rural,U_000193,Ucchal Thakur,8179968849,thakur.ucchal443@hotmail.com,11.04,183,Moderate,South,12.3,2023,34.47,38.3,29,29,32,30,120,Professional,75000,18490000,profit
P_000077,2025-06-14,Karnataka Anila Plant,Industrial,Karnataka,Hassan,Semi-Urban,U_001368,Darika Rathore,7672978829,darika.rathore20@gmail.com,10.7,201,Moderate,South,14.73,2025,43.04,47.82,29,29,32,29,119,Professional,75000,18385000,profit
P_000078,2022-04-20,Maharashtra Climate Cluster,Commercial,Maharashtra,Mumbai,Rural,U_001236,Mahika Shukla,7422533493,mahika_shukla@hotmail.com,6.86,306,Light Breeze,West,18.66,2022,4.59,3.3,6,6,0,0,12,Professional,75000,2280000,loss
P_000079,2024-09-18,Mahesh Dhule Anila Zone,Industrial,Maharashtra,Dhule,Urban,U_000441,Idika Pathan,9903695697,idika.pathan83@outlook.com,10.42,247,Moderate,West,11.02,2024,19.53,21.7,26,26,28,31,111,Professional,75000,16915000,profit
P_000080,2022-06-25,Tiruchirappalli Wind Farm IV,Industrial,Tamil Nadu,Tiruchirappalli,Semi-Urban,U_000505,Parth Kapoor,7210494196,parth.kapoor23@yahoo.com,11.97,227,Moderate,West,11.56,2022,27.1,30.11,24,24,28,24,100,Professional,75000,15420000,profit
P_000081,2023-02-02,Hubli Wind Farm V,Co-operative,Karnataka,Hubli,Urban,U_000893,Chaaya Srinivasan,8319929333,csrinivasan24@hotmail.com,12.36,351,Moderate,North,16.9,2023,43.48,48.31,26,26,31,0,83,Professional,75000,14065000,profit
P_000082,2024-07-05,Telangana Updraft Farm,Private,Telangana,Mancherial,Semi-Urban,U_000438,Amruta Mukhopadhyay,9429598447,a.mukhopadhyay1995@gmail.com,0.0,0,NA,NA,0.0,2024,0.0,0.0,0,24,25,25,74,Professional,75000,9720000,no_change
P_000083,2022-09-22,Telangana Airflow Base,Industrial,Telangana,Mahbubnagar,Semi-Urban,U_000056,Teerth Nair,7961159327,tnair88@hotmail.com,11.24,237,Moderate,West,16.06,2022,32.16,35.73,16,16,20,21,73,Professional,75000,10985000,profit
P_000084,2022-08-18,Sri Bhopal Samir Generation,Co-operative,Madhya Pradesh,Bhopal,Semi-Urban,U_000773,Agastya Mukherjee,9169789184,mukherjee.agastya761@hotmail.com,12.69,258,Moderate,West,13.39,2022,9.49,10.54,6,6,7,10,29,Professional,75000,4275000,profit
P_000085,2024-05-21,Thoothukudi Wind Farm IV,Commercial,Tamil Nadu,Thoothukudi,Rural,U_000836,Janya Bose,7293146178,janya.bose2@yahoo.com,7.74,35,Light Breeze,North,11.78,2024,3.7,4.11,6,6,6,7,25,Self,0,1950000,profit
P_000086,2022-01-04,Gauri Gwalior Gust Power,Industrial,Madhya Pradesh,Gwalior,Rural,U_001118,Wyatt Ahmed,7647426668,wyatta1993@gmail.com,4.55,120,Light Breeze,East,13.81,2022,1.23,1.37,6,6,10,11,33,Professional,75000,4785000,profit
P_000087,2024-12-16,Mahadev Kakinada Cumulus Sector,Government (MNRE),Andhra Pradesh,Kakinada,Semi-Urban,U_001368,Darika Rathore,7672978829,darika.rathore20@gmail.com,11.02,125,Moderate,East,14.69,2024,28.54,31.71,25,25,0,28,78,Self,0,6590000,profit
P_000088,2023-06-28,Rajasthan Pavan Center,Private,Rajasthan,Kota,Urban,U_000889,Sai Shaikh,8005639919,shaikh.sai116@yahoo.com,11.48,183,Moderate,South,14.03,2023,31.31,34.79,19,19,19,23,80,Professional,75000,12200000,profit
P_000089,2024-06-11,Rajasthan Whirl Infrastructure,Private,Rajasthan,Sikar,Rural,U_000968,Faras Karthik,9062962250,faras_karthik@outlook.com,13.36,229,Moderate,West,13.34,2024,43.18,47.98,20,20,20,21,81,Professional,75000,12505000,profit
P_000090,2022-07-25,Kerala Zephyr Block,Government (MNRE),Kerala,Vatakara,Urban,U_000821,Lavanya Banerjee,9511326216,lavanya.banerjee86@outlook.com,18.16,228,Strong,West,15.56,2022,61.43,68.26,16,16,19,17,68,Professional,75000,10430000,profit
P_000091,2024-02-10,Jodhpur Wind Farm III,Industrial,Rajasthan,Jodhpur,Urban,U_001408,Imaran Joshi,9774071727,imaran5171@outlook.com,6.43,152,Light Breeze,South,11.32,2024,5.31,5.9,18,18,19,23,78,Professional,75000,11820000,profit
P_000092,2024-02-20,Bharuch Wind Farm II,Industrial,Gujarat,Bharuch,Urban,U_000381,Ayush Parmar,7119084238,parmar.ayush585@yahoo.com,10.45,203,Moderate,South,13.44,2024,20.6,22.89,20,20,20,22,82,Professional,75000,12610000,profit
P_000093,2021-09-08,Telangana Atmos Reserve,Government (MNRE),Telangana,Hyderabad,Rural,U_000474,Ojas Khandelwal,9801816485,o.khandelwal2001@hotmail.com,12.14,242,Moderate,West,15.18,2021,73.49,81.66,29,29,31,0,89,Professional,75000,15205000,profit
P_000094,2023-01-09,Punjab Air Works,Private,Punjab,Patiala,Rural,U_001226,Falan Ahmed,7404174660,ahmed.falan606@gmail.com,6.78,25,Light Breeze,North,11.88,2023,6.09,6.77,22,22,25,23,92,Professional,75000,14150000,profit
P_000095,2025-08-11,Thrissur Wind Farm X,Government (MNRE),Kerala,Thrissur,Rural,U_000821,Lavanya Banerjee,9511326216,lavanya.banerjee86@outlook.com,5.46,266,Light Breeze,West,12.88,2025,14.4,7.34,23,23,27,26,99,Self,0,7690000,loss
P_000096,2024-02-18,Gauri Palanpur Cumulus Infrastructure,Industrial,Gujarat,Palanpur,Rural,U_000856,Arin Rajput,7610231268,a.rajput1977@outlook.com,11.57,317,Moderate,North,14.54,2024,35.39,39.32,20,20,21,25,86,Professional,75000,13060000,profit
P_000097,2025-12-28,Jay Morbi Spiral Center,Commercial,Gujarat,Morbi,Semi-Urban,U_000722,Yagnesh Kazmi,9614683804,yagnesh.kazmi4@outlook.com,5.26,212,Light Breeze,South,14.43,2025,2.84,3.16,11,11,14,15,51,Professional,75000,7645000,profit
P_000098,2024-11-27,Punjab Cirrus Field,Government (MNRE),Punjab,Fazilka,Rural,U_000097,Avni Gokhale,9045140072,avni_gokhale@yahoo.com,0.0,0,NA,NA,0.0,2024,0.0,0.0,0,16,17,0,33,Professional,75000,4775000,no_change
P_000099,2024-01-10,Devi Hospet Storm Circle,Industrial,Karnataka,Hospet,Rural,U_000675,Bimala Vyas,8343010614,bimala_vyas@yahoo.com,10.46,352,Moderate,North,14.15,2024,48.23,27.64,24,24,26,29,103,Self,0,7950000,loss
P_000100,2022-06-25,Bhairav Chikmagalur Cyclone Array,Private,Karnataka,Chikmagalur,Rural,U_001237,Aadhya Mishra,7685442151,mishra.aadhya434@hotmail.com,6.57,223,Light Breeze,South,14.89,2022,11.94,13.27,24,24,29,0,77,Professional,75000,13035000,profit
